Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2019-12-31 08:00:00,0.03343,0.03382,0.03279,0.03285,45408660.4,1577836799999,1509813.57244,6894,23264318.8,773656.716778,0
2020-01-01 08:00:00,0.03285,0.0338,0.0327,0.03348,29827408.5,1577923199999,995544.370196,6116,14857010.7,495839.114618,0
2020-01-02 08:00:00,0.03345,0.03348,0.03218,0.03269,42826456.1,1578009599999,1406391.011711,7453,19344719.1,635355.937195,0
2020-01-03 08:00:00,0.03269,0.03446,0.03236,0.03417,102581046.7,1578095999999,3470143.171544,15068,53816813.9,1820772.185412,0
2020-01-04 08:00:00,0.03417,0.0345,0.03375,0.03434,55528746.4,1578182399999,1892275.959724,7992,26567804.8,906185.160096,0
2020-01-05 08:00:00,0.03436,0.03527,0.03419,0.0346,71815282.1,1578268799999,2493890.080589,10424,33390473.2,1159712.809012,0
2020-01-06 08:00:00,0.03461,0.03736,0.03439,0.03732,131688800.5,1578355199999,4738039.458473,16460,67435160.1,2425998.891006,0
2020-01-07 08:00:00,0.03732,0.03808,0.03638,0.037,210380672.5,1578441599999,7824340.078516,24529,102831093.8,3827264.389325,0
2020-01-08 08:00:00,0.03696,0.03875,0.0358,0.03631,228408557.2,1578527999999,8558095.111536,28477,106594033.9,3993510.174705,0
2020-01-09 08:00:00,0.0363,0.03637,0.03548,0.03616,86372611.3,1578614399999,3104192.864347,12305,39849663.5,1432698.443522,0
2020-01-10 08:00:00,0.03616,0.03709,0.03468,0.03693,160265699.1,1578700799999,5771595.172103,20539,75662153.5,2726751.633602,0
2020-01-11 08:00:00,0.03693,0.0378,0.03641,0.03678,82682827.3,1578787199999,3065177.599264,13389,40734159.7,1511193.117241,0
2020-01-12 08:00:00,0.03673,0.03792,0.03653,0.03792,74412951.5,1578873599999,2768369.246181,12078,36641675.9,1364158.439065,0
2020-01-13 08:00:00,0.03788,0.03795,0.0367,0.03682,48213285.1,1578959999999,1787473.382719,8846,21316631.3,790199.445225,0
2020-01-14 08:00:00,0.03682,0.04277,0.03681,0.04161,436406174.4,1579046399999,17250874.375088,60102,227012766.3,8971355.044956,0
2020-01-15 08:00:00,0.04161,0.04324,0.04001,0.04275,317415252.7,1579132799999,13254733.778384,39538,159042953.5,6646967.919466,0
2020-01-16 08:00:00,0.04277,0.0433,0.04017,0.04168,167386728.8,1579219199999,6885960.640656,24738,78526118.7,3230563.418436,0
2020-01-17 08:00:00,0.04169,0.04595,0.04114,0.0449,352746229.4,1579305599999,15419956.497292,49435,168089112.1,7348163.995931,0
2020-01-18 08:00:00,0.04488,0.04583,0.04311,0.04489,235080675.3,1579391999999,10506985.298487,31621,112238353.5,5016842.66629,0
2020-01-19 08:00:00,0.04489,0.046,0.04129,0.042,255673670.8,1579478399999,11009321.845219,29181,127598288.3,5478886.193437,0
2020-01-20 08:00:00,0.042,0.04435,0.04197,0.04378,168161777.9,1579564799999,7241777.814405,21051,79928452.5,3442324.672194,0
2020-01-21 08:00:00,0.04379,0.04684,0.04345,0.04602,276447719.3,1579651199999,12602754.134393,33801,133804016.6,6101600.173109,0
2020-01-22 08:00:00,0.04604,0.04655,0.0452,0.04575,130329910.9,1579737599999,5972832.68638,21195,63112644.9,2894031.310963,0
2020-01-23 08:00:00,0.04575,0.0459,0.0421,0.04318,196962912.5,1579823999999,8600495.133524,27934,86990046.3,3800379.575536,0
2020-01-24 08:00:00,0.04319,0.04539,0.04135,0.04495,208401165.6,1579910399999,9061066.571712,27244,102801345.4,4473905.607519,0
2020-01-25 08:00:00,0.04493,0.04525,0.04289,0.04314,121509453.8,1579996799999,5311562.854639,17999,57267851.8,2503756.439237,0
2020-01-26 08:00:00,0.04314,0.04478,0.04287,0.04477,146166010.5,1580083199999,6411965.07839,28010,75561332.2,3315990.598762,0
2020-01-27 08:00:00,0.04479,0.04903,0.044,0.04796,301036037.1,1580169599999,14005846.229203,45349,150819678.7,7017512.04693,0
2020-01-28 08:00:00,0.048,0.05471,0.04749,0.0529,720874424.0,1580255999999,36978142.345989,88392,352218966.0,18080896.043614,0
2020-01-29 08:00:00,0.05291,0.05771,0.0526,0.05329,549284133.2,1580342399999,30490354.530824,66634,258981266.7,14376577.498253,0
2020-01-30 08:00:00,0.0533,0.0573,0.05218,0.05614,440823391.8,1580428799999,24072401.252572,59967,209644237.3,11451482.713129,0
2020-01-31 08:00:00,0.05614,0.0568,0.05215,0.0539,433767507.0,1580515199999,23492961.380158,90248,204379644.1,11071316.412874,0
2020-02-01 08:00:00,0.0539,0.05723,0.05312,0.0561,316991127.7,1580601599999,17473737.385021,72967,162271920.7,8948921.344793,0
