Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2021-12-14 14:42:00,0.011189,0.011194,0.011187,0.011189,229.791,1639464179999,2.57179016,67,133.618,1.49538855,0
2021-12-14 14:43:00,0.011189,0.011202,0.011187,0.011201,77.036,1639464239999,0.86245103,99,56.368,0.63117781,0
2021-12-14 14:44:00,0.011199,0.0112,0.011168,0.011168,464.711,1639464299999,5.19783092,245,111.031,1.24184152,0
2021-12-14 14:45:00,0.011171,0.011179,0.011169,0.011169,113.294,1639464359999,1.26589115,108,67.799,0.75759433,0
2021-12-14 14:46:00,0.01117,0.011175,0.011158,0.011161,199.484,1639464419999,2.22722113,214,56.318,0.62895677,0
2021-12-14 14:47:00,0.01116,0.011163,0.011158,0.011159,129.868,1639464479999,1.44937041,82,80.487,0.8982614,0
2021-12-14 14:48:00,0.011161,0.01117,0.01116,0.011166,62.009,1639464539999,0.69220046,74,19.07,0.21289138,0
2021-12-14 14:49:00,0.01117,0.011181,0.011167,0.011181,24.251,1639464599999,0.2710069,55,21.36,0.2387209,0
2021-12-14 14:50:00,0.011182,0.011185,0.011175,0.011178,56.363,1639464659999,0.63017499,81,19.644,0.21962718,0
2021-12-14 14:51:00,0.011179,0.011185,0.011178,0.011183,46.852,1639464719999,0.52392986,54,13.938,0.15585656,0
2021-12-14 14:52:00,0.011184,0.011188,0.011178,0.011182,291.252,1639464779999,3.25665287,120,52.745,0.58988271,0
2021-12-14 14:53:00,0.011182,0.011186,0.011181,0.011183,112.399,1639464839999,1.25698835,63,35.601,0.39815742,0
2021-12-14 14:54:00,0.011184,0.011185,0.011179,0.011179,167.915,1639464899999,1.87766537,81,16.526,0.1848196,0
2021-12-14 14:55:00,0.01118,0.011182,0.011177,0.01118,56.724,1639464959999,0.63409284,98,31.1,0.3476469,0
2021-12-14 14:56:00,0.01118,0.011185,0.011178,0.011178,19.498,1639465019999,0.21801761,44,10.547,0.11794535,0
2021-12-14 14:57:00,0.011178,0.011181,0.01117,0.011178,185.236,1639465079999,2.06999392,92,17.154,0.19174344,0
2021-12-14 14:58:00,0.011177,0.011179,0.011173,0.011179,79.411,1639465139999,0.88740366,61,41.965,0.46897729,0
2021-12-14 14:59:00,0.01118,0.011185,0.011176,0.011181,59.788,1639465199999,0.66848286,91,31.971,0.35746692,0
2021-12-14 15:00:00,0.01118,0.011186,0.011176,0.011186,129.069,1639465259999,1.44333821,101,81.177,0.9078321,0
2021-12-14 15:01:00,0.011186,0.0112,0.011183,0.011193,286.079,1639465319999,3.20202687,222,186.899,2.09193078,0
2021-12-14 15:02:00,0.011195,0.011214,0.011195,0.011212,182.879,1639465379999,2.04905,191,112.346,1.25883962,0
2021-12-14 15:03:00,0.011212,0.01122,0.01121,0.01122,145.897,1639465439999,1.63616911,117,139.143,1.56044188,0
2021-12-14 15:04:00,0.011221,0.01123,0.01122,0.011226,48.99,1639465499999,0.54988047,135,30.44,0.34167378,0
2021-12-14 15:05:00,0.011226,0.011226,0.011215,0.011215,65.041,1639465559999,0.72973259,42,7.481,0.08391584,0
2021-12-14 15:06:00,0.011216,0.011216,0.011209,0.011212,87.801,1639465619999,0.98464644,61,33.397,0.37454225,0
2021-12-14 15:07:00,0.011212,0.011212,0.011206,0.011209,45.454,1639465679999,0.50945765,53,21.582,0.24190045,0
2021-12-14 15:08:00,0.011211,0.011213,0.011206,0.011209,145.772,1639465739999,1.63403733,73,103.601,1.16130315,0
2021-12-14 15:09:00,0.01121,0.01121,0.011207,0.01121,37.219,1639465799999,0.41720511,34,32.863,0.36838574,0
2021-12-14 15:10:00,0.01121,0.01121,0.011206,0.01121,113.263,1639465859999,1.26966438,43,110.727,1.24124066,0
2021-12-14 15:11:00,0.01121,0.011218,0.011209,0.011218,191.289,1639465919999,2.14461079,96,188.152,2.10942639,0
2021-12-14 15:12:00,0.01122,0.011225,0.01122,0.011224,13.467,1639465979999,0.15113122,28,5.657,0.06348934,0
2021-12-14 15:13:00,0.011225,0.011227,0.011223,0.011226,86.875,1639466039999,0.97520771,58,38.71,0.434537,0
2021-12-14 15:14:00,0.011227,0.011227,0.011216,0.011217,20.153,1639466099999,0.22614132,33,9.161,0.10281202,0
2021-12-14 15:15:00,0.011217,0.011224,0.011217,0.011224,85.68,1639466159999,0.96130905,60,78.915,0.88541303,0
2021-12-14 15:16:00,0.011224,0.011227,0.011219,0.011225,41.041,1639466219999,0.4605986,53,23.876,0.26800044,0
2021-12-14 15:17:00,0.011225,0.011229,0.011222,0.011227,40.683,1639466279999,0.45664588,50,34.745,0.39000317,0
2021-12-14 15:18:00,0.011227,0.011233,0.011224,0.011232,125.796,1639466339999,1.41244556,83,85.662,0.96184386,0
2021-12-14 15:19:00,0.011231,0.011234,0.011227,0.011234,31.443,1639466399999,0.35315465,50,13.473,0.15133015,0
2021-12-14 15:20:00,0.011233,0.011235,0.011222,0.011225,66.79,1639466459999,0.74997522,56,35.664,0.40047546,0
2021-12-14 15:21:00,0.011224,0.011226,0.011222,0.011225,34.628,1639466519999,0.38866835,54,19.553,0.21947273,0
2021-12-14 15:22:00,0.011224,0.011226,0.011214,0.011217,88.264,1639466579999,0.99031166,73,19.648,0.22039891,0
2021-12-14 15:23:00,0.011217,0.011226,0.011216,0.011221,117.582,1639466639999,1.319358,80,57.56,0.64582433,0
2021-12-14 15:24:00,0.011223,0.011223,0.011218,0.011221,28.08,1639466699999,0.3150727,40,6.808,0.07639271,0
2021-12-14 15:25:00,0.011221,0.011225,0.01122,0.011225,41.557,1639466759999,0.46641827,33,16.289,0.18281102,0
2021-12-14 15:26:00,0.011225,0.011228,0.011223,0.011225,29.624,1639466819999,0.33253481,50,14.815,0.16630817,0
2021-12-14 15:27:00,0.011225,0.011227,0.011222,0.011225,18.322,1639466879999,0.20567009,40,7.067,0.07933092,0
2021-12-14 15:28:00,0.011227,0.011231,0.011225,0.011231,18.783,1639466939999,0.21091828,44,17.089,0.19189887,0
2021-12-14 15:29:00,0.011229,0.01123,0.011225,0.011225,22.141,1639466999999,0.24859163,44,13.023,0.146225,0
2021-12-14 15:30:00,0.011225,0.011233,0.011223,0.011228,160.345,1639467059999,1.80042452,97,96.043,1.07852743,0
2021-12-14 15:31:00,0.01123,0.011245,0.011227,0.011245,199.957,1639467119999,2.24643698,171,133.452,1.49923151,0
2021-12-14 15:32:00,0.011244,0.011245,0.01124,0.011245,24.497,1639467179999,0.27541696,33,8.968,0.10083555,0
2021-12-14 15:33:00,0.011243,0.011243,0.011233,0.011233,54.416,1639467239999,0.61156664,59,21.345,0.23991547,0
2021-12-14 15:34:00,0.011233,0.011243,0.011233,0.011242,25.417,1639467299999,0.28564978,54,18.812,0.21142197,0
2021-12-14 15:35:00,0.011241,0.011241,0.011234,0.011234,10.449,1639467359999,0.11742511,22,5.229,0.05876109,0
2021-12-14 15:36:00,0.011235,0.011242,0.011235,0.011242,46.834,1639467419999,0.52642395,36,38.353,0.43108857,0
2021-12-14 15:37:00,0.011242,0.011244,0.011236,0.011244,133.52,1639467479999,1.50088879,96,109.274,1.22838294,0
2021-12-14 15:38:00,0.011243,0.011244,0.011237,0.011242,63.643,1639467539999,0.7152937,60,18.872,0.21212659,0
2021-12-14 15:39:00,0.011243,0.01125,0.01124,0.011249,264.285,1639467599999,2.971289,115,83.516,0.93905286,0
2021-12-14 15:40:00,0.01125,0.011255,0.011248,0.01125,110.417,1639467659999,1.24229173,99,63.642,0.71600496,0
2021-12-14 15:41:00,0.01125,0.011256,0.011247,0.011252,201.64,1639467719999,2.26885422,107,114.966,1.29362995,0
2021-12-14 15:42:00,0.011253,0.011257,0.011247,0.011251,203.677,1639467779999,2.29203263,88,120.859,1.36003728,0
2021-12-14 15:43:00,0.011253,0.011258,0.011252,0.011256,157.341,1639467839999,1.77104356,73,126.883,1.42821753,0
2021-12-14 15:44:00,0.011255,0.011257,0.011249,0.011254,237.763,1639467899999,2.6757991,85,171.414,1.92907359,0
2021-12-14 15:45:00,0.011255,0.01126,0.011254,0.011259,202.574,1639467959999,2.28014578,111,148.332,1.66961239,0
2021-12-14 15:46:00,0.011259,0.011261,0.011256,0.011257,80.183,1639468019999,0.90274537,53,44.698,0.50325415,0
2021-12-14 15:47:00,0.011255,0.011266,0.011252,0.011259,371.257,1639468079999,4.17991887,174,211.566,2.3823275,0
2021-12-14 15:48:00,0.01126,0.011261,0.011254,0.011254,125.501,1639468139999,1.41300792,53,87.585,0.98616926,0
2021-12-14 15:49:00,0.011254,0.011259,0.011248,0.011255,200.77,1639468199999,2.25906186,98,124.138,1.39689904,0
2021-12-14 15:50:00,0.011252,0.01126,0.011251,0.01126,204.062,1639468259999,2.29744329,100,144.123,1.62272803,0
2021-12-14 15:51:00,0.011259,0.011259,0.011252,0.011253,53.375,1639468319999,0.6007204,39,32.096,0.36125102,0
2021-12-14 15:52:00,0.011253,0.011256,0.011251,0.011255,36.246,1639468379999,0.4079057,61,27.422,0.3086084,0
2021-12-14 15:53:00,0.011255,0.01126,0.011255,0.011259,42.496,1639468439999,0.47839516,46,40.289,0.45354774,0
2021-12-14 15:54:00,0.01126,0.01126,0.011251,0.011256,83.59,1639468499999,0.94100029,66,52.999,0.59670072,0
2021-12-14 15:55:00,0.011255,0.01126,0.011253,0.01126,75.121,1639468559999,0.84556827,77,50.672,0.57038752,0
2021-12-14 15:56:00,0.01126,0.011271,0.011259,0.011267,195.839,1639468619999,2.20607719,169,118.563,1.33551063,0
2021-12-14 15:57:00,0.011267,0.01128,0.011264,0.011277,193.943,1639468679999,2.18659371,210,151.122,1.70380928,0
2021-12-14 15:58:00,0.011275,0.011277,0.011271,0.011273,63.865,1639468739999,0.72007026,56,9.322,0.10509,0
2021-12-14 15:59:00,0.011274,0.011284,0.011274,0.011282,42.471,1639468799999,0.47912516,61,26.676,0.30095661,0
2021-12-14 16:00:00,0.011279,0.011293,0.011279,0.011284,104.336,1639468859999,1.17764948,217,65.53,0.73962316,0
2021-12-14 16:01:00,0.011284,0.011287,0.011277,0.011277,118.059,1639468919999,1.33175618,88,46.323,0.5225889,0
2021-12-14 16:02:00,0.011279,0.011282,0.011273,0.011276,70.188,1639468979999,0.79154058,108,46.119,0.5201165,0
2021-12-14 16:03:00,0.011276,0.011284,0.011268,0.011283,74.038,1639469039999,0.83468878,100,31.026,0.34986796,0
2021-12-14 16:04:00,0.011283,0.011295,0.011271,0.011295,218.865,1639469099999,2.46934869,175,173.094,1.95302251,0
2021-12-14 16:05:00,0.011295,0.011303,0.011291,0.011295,109.542,1639469159999,1.23760876,180,63.7,0.71976069,0
2021-12-14 16:06:00,0.011295,0.011295,0.01129,0.011295,30.48,1639469219999,0.34419356,62,17.687,0.19974574,0
2021-12-14 16:07:00,0.011295,0.011296,0.011289,0.011289,11.657,1639469279999,0.1316436,40,8.359,0.09439824,0
2021-12-14 16:08:00,0.01129,0.011298,0.011288,0.011297,22.526,1639469339999,0.25434283,30,16.393,0.18509381,0
2021-12-14 16:09:00,0.011295,0.011299,0.011291,0.011293,26.463,1639469399999,0.29890969,49,16.875,0.19060187,0
2021-12-14 16:10:00,0.011293,0.011304,0.011286,0.011286,125.926,1639469459999,1.4224867,96,65.882,0.74435962,0
2021-12-14 16:11:00,0.011288,0.011296,0.011286,0.011293,31.766,1639469519999,0.3587269,46,24.334,0.27481112,0
2021-12-14 16:12:00,0.011292,0.011299,0.011292,0.011299,19.524,1639469579999,0.2205468,36,6.832,0.07718775,0
2021-12-14 16:13:00,0.0113,0.011304,0.011298,0.011299,44.478,1639469639999,0.50266591,68,10.428,0.11786788,0
2021-12-14 16:14:00,0.011299,0.011301,0.011289,0.011296,120.861,1639469699999,1.36479033,51,11.517,0.13011362,0
2021-12-14 16:15:00,0.0113,0.0113,0.011293,0.011296,41.588,1639469759999,0.46982002,49,18.03,0.20368992,0
2021-12-14 16:16:00,0.011297,0.011299,0.01129,0.01129,21.558,1639469819999,0.24348587,30,7.299,0.08243938,0
2021-12-14 16:17:00,0.01129,0.011291,0.011289,0.011291,120.712,1639469879999,1.36283335,45,117.451,1.32601907,0
2021-12-14 16:18:00,0.011291,0.011297,0.01129,0.011293,33.98,1639469939999,0.38375749,56,24.825,0.28036992,0
2021-12-14 16:19:00,0.011293,0.011293,0.011285,0.011285,10.096,1639469999999,0.1139607,32,4.496,0.05074888,0
2021-12-14 16:20:00,0.011285,0.011288,0.011283,0.011287,44.46,1639470059999,0.50179582,75,24.371,0.27505514,0
2021-12-14 16:21:00,0.011286,0.011299,0.011285,0.011299,54.47,1639470119999,0.61501807,76,38.263,0.43204288,0
2021-12-14 16:22:00,0.011299,0.011304,0.011299,0.011302,121.472,1639470179999,1.37292609,83,69.388,0.7842368,0
2021-12-14 16:23:00,0.011304,0.011306,0.011297,0.011304,64.479,1639470239999,0.72864672,87,16.974,0.19187799,0
2021-12-14 16:24:00,0.011304,0.011307,0.011302,0.011307,25.547,1639470299999,0.28881438,62,22.144,0.25034618,0
2021-12-14 16:25:00,0.011306,0.011308,0.0113,0.011303,63.446,1639470359999,0.71717527,92,44.619,0.50436483,0
2021-12-14 16:26:00,0.011303,0.011304,0.011295,0.011299,43.418,1639470419999,0.49063367,37,28.301,0.31984119,0
2021-12-14 16:27:00,0.011297,0.0113,0.011294,0.011294,37.263,1639470479999,0.42098656,42,16.8,0.18981918,0
2021-12-14 16:28:00,0.011295,0.011303,0.011295,0.011301,26.51,1639470539999,0.29955148,37,13.798,0.15589353,0
2021-12-14 16:29:00,0.011301,0.011305,0.011295,0.011297,31.064,1639470599999,0.35102346,39,15.054,0.17012758,0
2021-12-14 16:30:00,0.011297,0.01131,0.011296,0.011307,74.264,1639470659999,0.83956869,90,41.288,0.46679787,0
2021-12-14 16:31:00,0.011305,0.01131,0.011294,0.011295,135.784,1639470719999,1.53495231,87,62.574,0.70747777,0
2021-12-14 16:32:00,0.011296,0.011297,0.011292,0.011297,27.792,1639470779999,0.31388641,56,18.307,0.20677007,0
2021-12-14 16:33:00,0.011297,0.011305,0.011295,0.011305,40.196,1639470839999,0.45424375,45,27.453,0.31022039,0
2021-12-14 16:34:00,0.011303,0.011305,0.011298,0.011298,30.388,1639470899999,0.34344904,35,16.662,0.18832501,0
2021-12-14 16:35:00,0.011297,0.011301,0.011296,0.011299,40.104,1639470959999,0.45311831,58,13.653,0.15426364,0
2021-12-14 16:36:00,0.011299,0.011301,0.011297,0.011297,48.429,1639471019999,0.54718852,62,18.545,0.20954071,0
2021-12-14 16:37:00,0.011297,0.011298,0.011275,0.011293,243.738,1639471079999,2.7507782,179,103.706,1.17042209,0
2021-12-14 16:38:00,0.011294,0.0113,0.011293,0.011296,91.426,1639471139999,1.03277482,111,36.468,0.41198904,0
2021-12-14 16:39:00,0.011297,0.0113,0.011293,0.0113,153.651,1639471199999,1.73600886,71,97.109,1.09728035,0
2021-12-14 16:40:00,0.0113,0.011313,0.011297,0.011312,88.986,1639471259999,1.00597404,182,75.274,0.85096537,0
2021-12-14 16:41:00,0.011312,0.011312,0.011302,0.011305,30.102,1639471319999,0.34035642,45,8.463,0.09569304,0
2021-12-14 16:42:00,0.011306,0.011306,0.011296,0.0113,80.39,1639471379999,0.90847394,86,55.968,0.63248399,0
2021-12-14 16:43:00,0.011299,0.011302,0.011295,0.011298,79.467,1639471439999,0.89788483,64,55.811,0.63063403,0
2021-12-14 16:44:00,0.011298,0.011301,0.011295,0.0113,116.809,1639471499999,1.31963728,106,45.199,0.51063829,0
2021-12-14 16:45:00,0.011299,0.011299,0.011281,0.011282,151.996,1639471559999,1.71602686,105,63.697,0.71917649,0
2021-12-14 16:46:00,0.011285,0.011285,0.011268,0.011271,86.234,1639471619999,0.97244029,106,46.913,0.52908909,0
2021-12-14 16:47:00,0.011273,0.011284,0.011273,0.01128,39.88,1639471679999,0.44985179,87,24.489,0.27624556,0
2021-12-14 16:48:00,0.011282,0.01129,0.011279,0.011283,60.422,1639471739999,0.68181884,97,42.271,0.47701416,0
2021-12-14 16:49:00,0.011285,0.011287,0.011276,0.011276,94.414,1639471799999,1.06517782,101,33.478,0.37774751,0
2021-12-14 16:50:00,0.011276,0.011291,0.011276,0.011288,65.368,1639471859999,0.73772056,103,51.16,0.57739931,0
2021-12-14 16:51:00,0.011288,0.01129,0.011271,0.011272,418.35,1639471919999,4.72003398,132,148.187,1.67223172,0
2021-12-14 16:52:00,0.011274,0.011284,0.011274,0.01128,32.482,1639471979999,0.36641998,66,19.914,0.22465727,0
2021-12-14 16:53:00,0.011282,0.011285,0.011277,0.011285,55.186,1639472039999,0.62258223,68,24.757,0.27932214,0
2021-12-14 16:54:00,0.011285,0.011288,0.011284,0.011288,81.186,1639472099999,0.91629154,82,52.517,0.59274351,0
2021-12-14 16:55:00,0.011287,0.011292,0.011285,0.011285,68.859,1639472159999,0.77729763,63,47.671,0.53811007,0
2021-12-14 16:56:00,0.011285,0.011288,0.011277,0.011277,92.114,1639472219999,1.03956557,95,39.4,0.44466013,0
2021-12-14 16:57:00,0.011277,0.011285,0.011275,0.011275,105.767,1639472279999,1.19313098,81,88.323,0.99639631,0
2021-12-14 16:58:00,0.011277,0.011295,0.011271,0.011279,441.788,1639472339999,4.98321783,187,301.356,3.39988563,0
2021-12-14 16:59:00,0.011279,0.011287,0.011275,0.011277,122.24,1639472399999,1.37891767,85,55.169,0.62246954,0
2021-12-14 17:00:00,0.011277,0.011289,0.011276,0.01128,85.038,1639472459999,0.95963962,74,58.41,0.65919986,0
2021-12-14 17:01:00,0.011281,0.011282,0.011276,0.011277,83.793,1639472519999,0.94512527,69,46.789,0.5277423,0
2021-12-14 17:02:00,0.011277,0.01128,0.011275,0.011277,49.689,1639472579999,0.56033413,52,19.824,0.22357034,0
2021-12-14 17:03:00,0.011276,0.011281,0.011273,0.011273,119.994,1639472639999,1.3532816,90,68.161,0.76879475,0
2021-12-14 17:04:00,0.011273,0.011276,0.011262,0.011266,66.57,1639472699999,0.75018498,56,13.636,0.15367414,0
2021-12-14 17:05:00,0.011267,0.01127,0.01126,0.011262,147.655,1639472759999,1.6632136,94,25.394,0.28604458,0
2021-12-14 17:06:00,0.011261,0.011265,0.011261,0.011261,47.403,1639472819999,0.53389909,64,38.97,0.43892913,0
2021-12-14 17:07:00,0.01126,0.011264,0.01126,0.011264,12.172,1639472879999,0.13708719,27,5.874,0.06615892,0
2021-12-14 17:08:00,0.011262,0.011264,0.011255,0.011255,27.171,1639472939999,0.30593919,67,8.841,0.09954572,0
2021-12-14 17:09:00,0.011255,0.011255,0.011246,0.011246,86.63,1639472999999,0.97476826,108,11.825,0.13304578,0
2021-12-14 17:10:00,0.011248,0.011257,0.011247,0.011249,78.766,1639473059999,0.88622562,70,41.143,0.46294924,0
2021-12-14 17:11:00,0.011249,0.011249,0.011242,0.011242,30.205,1639473119999,0.33967206,89,5.174,0.0581892,0
2021-12-14 17:12:00,0.011243,0.011246,0.01124,0.01124,47.274,1639473179999,0.5315192,78,18.241,0.20508507,0
2021-12-14 17:13:00,0.011241,0.011242,0.011239,0.01124,32.271,1639473239999,0.36274469,58,15.877,0.17847099,0
2021-12-14 17:14:00,0.01124,0.011242,0.011238,0.011238,18.431,1639473299999,0.20715692,30,10.226,0.11494189,0
2021-12-14 17:15:00,0.011237,0.011245,0.011237,0.011243,44.565,1639473359999,0.50103211,68,34.853,0.39185273,0
2021-12-14 17:16:00,0.011242,0.011255,0.01124,0.011253,89.884,1639473419999,1.0110059,73,60.041,0.67537496,0
